ENSG00000000003 TSPAN6
ENSG00000008382 MPND
ENSG00000008394 MGST1
ENSG00000008405 CRY1
ENSG00000008438 PGLYRP1
ENSG00000008441 NFIX
ENSG00000008513 ST3GAL1
ENSG00000008516 MMP25
ENSG00000008517 IL32
ENSG00000008710 PKD1
ENSG00000008735 MAPK8IP2
ENSG00000008838 MED24
ENSG00000008853 RHOBTB2
ENSG00000008869 HEATR5B
ENSG00000008952 SEC62
ENSG00000008988 RPS20
ENSG00000009307 CSDE1
ENSG00000009335 UBE3C
ENSG00000009413 REV3L
ENSG00000009724 MASP2
ENSG00000009765 IYD
ENSG00000009780 FAM76A
ENSG00000009790 TRAF3IP3
ENSG00000009830 POMT2
ENSG00000009844 VTA1
ENSG00000009950 MLXIPL
ENSG00000009954 BAZ1B
ENSG00000010017 RANBP9
ENSG00000010030 ETV7
ENSG00000010072 SPRTN
ENSG00000010165 METTL13
ENSG00000010219 DYRK4
ENSG00000010244 ZNF207
ENSG00000010256 UQCRC1
ENSG00000010270 STARD3NL
ENSG00000010278 CD9
ENSG00000010292 NCAPD2
ENSG00000010295 IFFO1
ENSG00000010310 GIPR
ENSG00000010318 PHF7
ENSG00000010319 SEMA3G
ENSG00000010322 NISCH
ENSG00000010327 STAB1
ENSG00000010361 FUZ
ENSG00000010379 SLC6A13
ENSG00000010404 IDS
ENSG00000010539 ZNF200
ENSG00000010610 CD4
ENSG00000010626 LRRC23
ENSG00000010671 BTK
ENSG00000010704 HFE
ENSG00000010803 SCMH1
ENSG00000010810 FYN
ENSG00000010818 HIVEP2
ENSG00000010932 FMO1
ENSG00000011007 TCEB3
ENSG00000011009 LYPLA2
ENSG00000011021 CLCN6
ENSG00000011028 MRC2
ENSG00000011105 TSPAN9
ENSG00000011114 BTBD7
ENSG00000011132 APBA3
ENSG00000011143 MKS1
ENSG00000011198 ABHD5
ENSG00000011243 AKAP8L
ENSG00000011258 MBTD1
ENSG00000011260 UTP18
ENSG00000011275 RNF216
ENSG00000011295 TTC19
ENSG00000011304 PTBP1
ENSG00000011332 DPF1
ENSG00000011376 LARS2
ENSG00000011405 PIK3C2A
ENSG00000011422 PLAUR
ENSG00000011426 ANLN
ENSG00000011451 WIZ
ENSG00000011454 RABGAP1
ENSG00000011465 DCN
ENSG00000011478 QPCTL
ENSG00000011485 PPP5C
ENSG00000011523 CEP68
ENSG00000011566 MAP4K3
ENSG00000011590 ZBTB32
ENSG00000011600 TYROBP
ENSG00000011638 TMEM159
ENSG00000011677 GABRA3
ENSG00000012048 BRCA1
ENSG00000012061 ERCC1
ENSG00000012124 CD22
ENSG00000012171 SEMA3B
ENSG00000012174 MBTPS2
ENSG00000012211 PRICKLE3
ENSG00000012223 LTF
ENSG00000012232 EXTL3
ENSG00000012660 ELOVL5
ENSG00000012779 ALOX5
ENSG00000012817 KDM5D
ENSG00000012822 CALCOCO1
ENSG00000012963 UBR7
ENSG00000012983 MAP4K5
ENSG00000013016 EHD3
ENSG00000013275 PSMC4
ENSG00000013288 MAN2B2
ENSG00000013293 SLC7A14
ENSG00000013297 CLDN11
ENSG00000013306 SLC25A39
ENSG00000013364 MVP
ENSG00000013374 NUB1
ENSG00000013375 PGM3
ENSG00000013392 RWDD2A
ENSG00000013441 CLK1
ENSG00000013503 POLR3B
ENSG00000013523 ANGEL1
ENSG00000013561 RNF14
ENSG00000013563 DNASE1L1
ENSG00000013573 DDX11
ENSG00000013583 HEBP1
ENSG00000013588 GPRC5A
ENSG00000013619 MAMLD1
ENSG00000013725 CD6
ENSG00000013810 TACC3
ENSG00000014123 UFL1
ENSG00000014138 POLA2
ENSG00000014164 ZC3H3
ENSG00000014216 CAPN1
ENSG00000014641 MDH1
ENSG00000014824 SLC30A9
ENSG00000014914 MTMR11
ENSG00000014919 COX15
ENSG00000015133 CCDC88C
ENSG00000015153 YAF2
ENSG00000015171 ZMYND11
ENSG00000015285 WAS
ENSG00000015413 DPEP1
ENSG00000015475 BID
ENSG00000015479 MATR3
ENSG00000015520 NPC1L1
ENSG00000015532 XYLT2
ENSG00000015568 RGPD5
ENSG00000015676 NUDCD3
ENSG00000016391 CHDH
ENSG00000016490 CLCA1
ENSG00000016602 CLCA4
ENSG00000016864 GLT8D1
ENSG00000017260 ATP2C1
ENSG00000017427 IGF1
ENSG00000017483 SLC38A5
ENSG00000017797 RALBP1
ENSG00000018189 RUFY3
ENSG00000018236 CNTN1
ENSG00000018280 SLC11A1
ENSG00000018408 WWTR1
ENSG00000018510 AGPS
ENSG00000018610 CXorf56
ENSG00000018625 ATP1A2
ENSG00000018699 TTC27
ENSG00000018869 ZNF582
ENSG00000019144 PHLDB1
ENSG00000019485 PRDM11
ENSG00000019549 SNAI2
ENSG00000019582 CD74
ENSG00000019991 HGF
ENSG00000019995 ZRANB1
ENSG00000020129 NCDN
ENSG00000020256 ZFP64
ENSG00000020426 MNAT1
ENSG00000020577 SAMD4A
ENSG00000020633 RUNX3
ENSG00000020922 MRE11A
ENSG00000021300 PLEKHB1
ENSG00000021355 SERPINB1
ENSG00000021461 CYP3A43
ENSG00000021488 SLC7A9
ENSG00000021574 SPAST
ENSG00000021645 NRXN3
ENSG00000021762 OSBPL5
ENSG00000021776 AQR
ENSG00000021826 CPS1
ENSG00000022267 FHL1
ENSG00000022277 RTFDC1
ENSG00000022556 NLRP2
ENSG00000022567 SLC45A4
ENSG00000022840 RNF10
ENSG00000022976 ZNF839
ENSG00000023041 ZDHHC6
ENSG00000023171 GRAMD1B
ENSG00000023191 RNH1
ENSG00000023228 NDUFS1
ENSG00000023287 RB1CC1
ENSG00000023318 ERP44
ENSG00000023330 ALAS1
ENSG00000023445 BIRC3
ENSG00000023516 AKAP11
ENSG00000023572 GLRX2
ENSG00000023608 SNAPC1
ENSG00000023697 DERA
ENSG00000023734 STRAP
ENSG00000023839 ABCC2
ENSG00000023892 DEF6
ENSG00000023902 PLEKHO1
ENSG00000023909 GCLM
ENSG00000024048 UBR2
ENSG00000024422 EHD2
ENSG00000024526 DEPDC1
ENSG00000024862 CCDC28A
ENSG00000025039 RRAGD
ENSG00000025156 HSF2
ENSG00000025293 PHF20
ENSG00000025423 HSD17B6
ENSG00000025434 NR1H3
ENSG00000025708 TYMP
ENSG00000025770 NCAPH2
ENSG00000025772 TOMM34
ENSG00000025796 SEC63
ENSG00000025800 KPNA6
ENSG00000026025 VIM
ENSG00000026036 RTEL1.TNFRSF6B
ENSG00000026103 FAS
ENSG00000026297 RNASET2
ENSG00000026508 CD44
ENSG00000026652 AGPAT4
ENSG00000026751 SLAMF7
ENSG00000026950 BTN3A1
ENSG00000027001 MIPEP
ENSG00000027075 PRKCH
ENSG00000027697 IFNGR1
ENSG00000027847 B4GALT7
ENSG00000027869 SH2D2A
ENSG00000028116 VRK2
ENSG00000028137 TNFRSF1B
ENSG00000028203 VEZT
ENSG00000028277 POU2F2
ENSG00000028310 BRD9
ENSG00000028528 SNX1
ENSG00000028839 TBPL1
ENSG00000029153 ARNTL2
ENSG00000029363 BCLAF1
ENSG00000029364 SLC39A9
ENSG00000029534 ANK1
ENSG00000029639 TFB1M
ENSG00000029725 RABEP1
ENSG00000029993 HMGB3
ENSG00000030066 NUP160
ENSG00000030110 BAK1
ENSG00000030304 MUSK
ENSG00000030419 IKZF2
ENSG00000030582 GRN
ENSG00000031003 FAM13B
ENSG00000031081 ARHGAP31
ENSG00000031691 CENPQ
ENSG00000031698 SARS
ENSG00000031823 RANBP3
ENSG00000032219 ARID4A
ENSG00000032389 TSSC1
ENSG00000032444 PNPLA6
ENSG00000032742 IFT88
ENSG00000033011 ALG1
ENSG00000033030 ZCCHC8
ENSG00000033050 ABCF2
ENSG00000033100 CHPF2
ENSG00000033122 LRRC7
ENSG00000033170 FUT8
ENSG00000033178 UBA6
ENSG00000033327 GAB2
ENSG00000033627 ATP6V0A1
ENSG00000033800 PIAS1
ENSG00000033867 SLC4A7
ENSG00000034053 APBA2
ENSG00000034152 MAP2K3
ENSG00000034239 EFCAB1
ENSG00000034510 TMSB10
ENSG00000034533 ASTE1
ENSG00000034677 RNF19A
ENSG00000034693 PEX3
ENSG00000034713 GABARAPL2
ENSG00000035115 SH3YL1
ENSG00000035141 FAM136A
ENSG00000035403 VCL
ENSG00000035499 DEPDC1B
ENSG00000035664 DAPK2
ENSG00000035681 NSMAF
ENSG00000035687 ADSS
ENSG00000035720 STAP1
ENSG00000035862 TIMP2
ENSG00000035928 RFC1
ENSG00000036054 TBC1D23
ENSG00000036257 CUL3
ENSG00000036448 MYOM2
ENSG00000036530 CYP46A1
ENSG00000036549 ZZZ3
ENSG00000036672 USP2
ENSG00000037042 TUBG2
ENSG00000037241 RPL26L1
ENSG00000037474 NSUN2
ENSG00000037637 FBXO42
ENSG00000037749 MFAP3
ENSG00000037757 MRI1
ENSG00000037897 METTL1
ENSG00000038002 AGA
ENSG00000038210 PI4K2B
ENSG00000038219 BOD1L1
ENSG00000038274 MAT2B
ENSG00000038358 EDC4
ENSG00000038382 TRIO
ENSG00000038427 VCAN
ENSG00000038532 CLEC16A
ENSG00000038945 MSR1
ENSG00000039068 CDH1
ENSG00000039123 SKIV2L2
ENSG00000039139 DNAH5
ENSG00000039319 ZFYVE16
ENSG00000039523 FAM65A
ENSG00000039560 RAI14
ENSG00000039600 SOX30
ENSG00000039650 PNKP
ENSG00000039987 BEST2
ENSG00000040199 PHLPP2
ENSG00000040275 SPDL1
ENSG00000040341 STAU2
ENSG00000040487 PQLC2
ENSG00000040531 CTNS
ENSG00000040633 PHF23
ENSG00000040933 INPP4A
ENSG00000041357 PSMA4
ENSG00000041515 MYO16
ENSG00000041802 LSG1
ENSG00000041880 PARP3
ENSG00000041982 TNC
ENSG00000041988 THAP3
ENSG00000042062 FAM65C
ENSG00000042088 TDP1
ENSG00000042286 AIFM2
ENSG00000042304 C2orf83
ENSG00000042317 SPATA7
ENSG00000042429 MED17
ENSG00000042445 RETSAT
ENSG00000042493 CAPG
ENSG00000042753 AP2S1
ENSG00000042781 USH2A
ENSG00000042813 ZPBP
ENSG00000042980 ADAM28
ENSG00000043039 BARX2
ENSG00000043093 DCUN1D1
ENSG00000043143 JADE2
ENSG00000043462 LCP2
ENSG00000043514 TRIT1
ENSG00000043591 ADRB1
ENSG00000044090 CUL7
ENSG00000044115 CTNNA1
ENSG00000044446 PHKA2
ENSG00000044459 CNTLN
ENSG00000044574 HSPA5
ENSG00000046604 DSG2
ENSG00000046647 GEMIN8
ENSG00000046651 OFD1
ENSG00000046653 GPM6B
ENSG00000046774 MAGEC2
ENSG00000046889 PREX2
ENSG00000047056 WDR37
ENSG00000047188 YTHDC2
ENSG00000047230 CTPS2
ENSG00000047249 ATP6V1H
ENSG00000047315 POLR2B
ENSG00000047346 FAM214A
ENSG00000047365 ARAP2
ENSG00000047410 TPR
ENSG00000047457 CP
ENSG00000047578 KIAA0556
ENSG00000047579 DTNBP1
ENSG00000047597 XK
ENSG00000047621 C12orf4
ENSG00000047634 SCML1
ENSG00000047644 WWC3
ENSG00000047648 ARHGAP6
ENSG00000047662 FAM184B
ENSG00000047849 MAP4
ENSG00000047932 GOPC
ENSG00000048028 USP28
ENSG00000048052 HDAC9
ENSG00000048140 TSPAN17
ENSG00000048162 NOP16
ENSG00000048342 CC2D2A
ENSG00000048392 RRM2B
ENSG00000048405 ZNF800
ENSG00000048462 TNFRSF17
ENSG00000048471 SNX29
ENSG00000048544 MRPS10
ENSG00000048545 GUCA1A
ENSG00000048649 RSF1
ENSG00000048707 VPS13D
ENSG00000048740 CELF2
ENSG00000048828 FAM120A
ENSG00000048991 R3HDM1
ENSG00000049089 COL9A2
ENSG00000049130 KITLG
ENSG00000049167 ERCC8
ENSG00000049192 ADAMTS6
ENSG00000049239 H6PD
ENSG00000049245 VAMP3
ENSG00000049246 PER3
ENSG00000049249 TNFRSF9
ENSG00000049283 EPN3
ENSG00000049323 LTBP1
ENSG00000049449 RCN1
ENSG00000049540 ELN
ENSG00000049541 RFC2
ENSG00000049618 ARID1B
ENSG00000049656 CLPTM1L
ENSG00000049759 NEDD4L
ENSG00000049768 FOXP3
ENSG00000049769 PPP1R3F
ENSG00000049860 HEXB
ENSG00000049883 PTCD2
ENSG00000050030 KIAA2022
ENSG00000050130 JKAMP
ENSG00000050327 ARHGEF5
ENSG00000050344 NFE2L3
ENSG00000050393 MCUR1
ENSG00000050405 LIMA1
ENSG00000050426 LETMD1
ENSG00000050438 SLC4A8
ENSG00000050628 PTGER3
ENSG00000050730 TNIP3
ENSG00000050748 MAPK9
ENSG00000050820 BCAR1
ENSG00000051009 FAM160A2
ENSG00000051108 HERPUD1
ENSG00000051128 HOMER3
ENSG00000051180 RAD51
ENSG00000051341 POLQ
ENSG00000051382 PIK3CB
ENSG00000051523 CYBA
ENSG00000051596 THOC3
ENSG00000051620 HEBP2
ENSG00000051825 MPHOSPH9
ENSG00000052126 PLEKHA5
ENSG00000052723 SIKE1
ENSG00000052749 RRP12
ENSG00000052795 FNIP2
ENSG00000052802 MSMO1
ENSG00000052841 TTC17
ENSG00000052850 ALX4
ENSG00000053254 FOXN3
ENSG00000053371 AKR7A2
ENSG00000053372 MRTO4
ENSG00000053501 USE1
ENSG00000053524 MCF2L2
ENSG00000053702 NRIP2
ENSG00000053747 LAMA3
ENSG00000053770 AP5M1
ENSG00000053900 ANAPC4
ENSG00000053918 KCNQ1
ENSG00000054116 TRAPPC3
ENSG00000054118 THRAP3
ENSG00000054148 PHPT1
ENSG00000054219 LY75
ENSG00000054267 ARID4B
ENSG00000054277 OPN3
ENSG00000054282 SDCCAG8
ENSG00000054356 PTPRN
ENSG00000054392 HHAT
ENSG00000054523 KIF1B
ENSG00000054598 FOXC1
ENSG00000054611 TBC1D22A
ENSG00000054654 SYNE2
ENSG00000054690 PLEKHH1
ENSG00000054793 ATP9A
ENSG00000054938 CHRDL2
ENSG00000054965 FAM168A
ENSG00000054967 RELT
ENSG00000054983 GALC
ENSG00000055044 NOP58
ENSG00000055070 SZRD1
ENSG00000055118 KCNH2
ENSG00000055130 CUL1
ENSG00000055147 FAM114A2
ENSG00000055163 CYFIP2
ENSG00000055208 TAB2
ENSG00000055211 GINM1
ENSG00000055332 EIF2AK2
ENSG00000055483 USP36
ENSG00000055609 KMT2C
ENSG00000055813 CCDC85A
ENSG00000055917 PUM2
ENSG00000055950 MRPL43
ENSG00000055955 ITIH4
ENSG00000056050 C4orf27
ENSG00000056097 ZFR
ENSG00000056277 ZNF280C
ENSG00000056558 TRAF1
ENSG00000056586 RC3H2
ENSG00000056736 IL17RB
ENSG00000056972 TRAF3IP2
ENSG00000056998 GYG2
ENSG00000057019 DCBLD2
ENSG00000057252 SOAT1
ENSG00000057294 PKP2
ENSG00000057468 MSH4
ENSG00000057608 GDI2
ENSG00000057657 PRDM1
ENSG00000057663 ATG5
ENSG00000057704 TMCC3
ENSG00000057757 PITHD1
ENSG00000057935 MTA3
ENSG00000058056 USP13
ENSG00000058063 ATP11B
ENSG00000058085 LAMC2
ENSG00000058091 CDK14
ENSG00000058262 SEC61A1
ENSG00000058272 PPP1R12A
ENSG00000058335 RASGRF1
ENSG00000058404 CAMK2B
ENSG00000058453 CROCC
ENSG00000058600 POLR3E
ENSG00000058668 ATP2B4
ENSG00000058673 ZC3H11A
ENSG00000058729 RIOK2
ENSG00000058799 YIPF1
ENSG00000058804 NDC1
ENSG00000058866 DGKG
ENSG00000059122 FLYWCH1
ENSG00000059145 UNKL
ENSG00000059377 TBXAS1
ENSG00000059378 PARP12
ENSG00000059573 ALDH18A1
ENSG00000059588 TARBP1
ENSG00000059691 GATB
ENSG00000059728 MXD1
ENSG00000059758 CDK17
ENSG00000059769 DNAJC25
ENSG00000059804 SLC2A3
ENSG00000059915 PSD
ENSG00000060069 CTDP1
ENSG00000060138 YBX3
ENSG00000060237 WNK1
ENSG00000060303 RPS17P5
ENSG00000060339 CCAR1
ENSG00000060491 OGFR
ENSG00000060558 GNA15
ENSG00000060642 PIGV
ENSG00000060656 PTPRU
ENSG00000060688 SNRNP40
ENSG00000060718 COL11A1
ENSG00000060749 QSER1
ENSG00000060762 MPC1
ENSG00000060971 ACAA1
ENSG00000060982 BCAT1
ENSG00000061273 HDAC7
ENSG00000061455 PRDM6
ENSG00000061656 SPAG4
ENSG00000061676 NCKAP1
ENSG00000061794 MRPS35
ENSG00000061918 GUCY1B3
ENSG00000061936 SFSWAP
ENSG00000061938 TNK2
ENSG00000061987 MON2
ENSG00000062038 CDH3
ENSG00000062194 GPBP1
ENSG00000062282 DGAT2
ENSG00000062370 ZNF112
ENSG00000062485 CS
ENSG00000062524 LTK
ENSG00000062582 MRPS24
ENSG00000062598 ELMO2
ENSG00000062650 WAPAL
ENSG00000062716 VMP1
ENSG00000062725 APPBP2
ENSG00000062822 POLD1
ENSG00000063015 SEZ6
ENSG00000063046 EIF4B
ENSG00000063127 SLC6A16
ENSG00000063169 GLTSCR1
ENSG00000063176 SPHK2
ENSG00000063177 RPL18
ENSG00000063180 CA11
ENSG00000063241 ISOC2
ENSG00000063244 U2AF2
ENSG00000063245 EPN1
ENSG00000063322 MED29
ENSG00000063438 AHRR
ENSG00000063587 ZNF275
ENSG00000063601 MTMR1
ENSG00000063660 GPC1
ENSG00000063761 ADCK1
ENSG00000063854 HAGH
ENSG00000063978 RNF4
ENSG00000064012 CASP8
ENSG00000064042 LIMCH1
ENSG00000064102 ASUN
ENSG00000064115 TM7SF3
ENSG00000064199 SPA17
ENSG00000064201 TSPAN32
ENSG00000064205 WISP2
ENSG00000064225 ST3GAL6
ENSG00000064270 ATP2C2
ENSG00000064300 NGFR
ENSG00000064313 TAF2
ENSG00000064393 HIPK2
ENSG00000064419 TNPO3
ENSG00000064489 MEF2BNB.MEF2B
ENSG00000064490 RFXANK
ENSG00000064545 TMEM161A
ENSG00000064547 LPAR2
ENSG00000064601 CTSA
ENSG00000064607 SUGP2
ENSG00000064651 SLC12A2
ENSG00000064652 SNX24
ENSG00000064655 EYA2
ENSG00000064666 CNN2
ENSG00000064687 ABCA7
ENSG00000064692 SNCAIP
ENSG00000064703 DDX20
ENSG00000064726 BTBD1
ENSG00000064763 FAR2
ENSG00000064787 BCAS1
ENSG00000064886 CHI3L2
ENSG00000064932 SBNO2
ENSG00000064933 PMS1
ENSG00000064961 HMG20B
ENSG00000064989 CALCRL
ENSG00000064995 TAF11
ENSG00000064999 ANKS1A
ENSG00000065000 AP3D1
ENSG00000065029 ZNF76
ENSG00000065054 SLC9A3R2
ENSG00000065057 NTHL1
ENSG00000065060 UHRF1BP1
ENSG00000065135 GNAI3
ENSG00000065150 IPO5
ENSG00000065154 OAT
ENSG00000065183 WDR3
ENSG00000065243 PKN2
ENSG00000065268 WDR18
ENSG00000065308 TRAM2
ENSG00000065320 NTN1
ENSG00000065328 MCM10
ENSG00000065357 DGKA
ENSG00000065361 ERBB3
ENSG00000065413 ANKRD44
ENSG00000065427 KARS
ENSG00000065457 ADAT1
ENSG00000065485 PDIA5
ENSG00000065491 TBC1D22B
ENSG00000065518 NDUFB4
ENSG00000065526 SPEN
ENSG00000065534 MYLK
ENSG00000065548 ZC3H15
ENSG00000065559 MAP2K4
ENSG00000065600 TMEM206
ENSG00000065613 SLK
ENSG00000065615 CYB5R4
ENSG00000065618 COL17A1
ENSG00000065621 GSTO2
ENSG00000065665 SEC61A2
ENSG00000065675 PRKCQ
ENSG00000065717 TLE2
ENSG00000065802 ASB1
ENSG00000065809 FAM107B
ENSG00000065833 ME1
ENSG00000065882 TBC1D1
ENSG00000065883 CDK13
ENSG00000065911 MTHFD2
ENSG00000065923 SLC9A7
ENSG00000065970 FOXJ2
ENSG00000065978 YBX1
ENSG00000065989 PDE4A
ENSG00000066027 PPP2R5A
ENSG00000066032 CTNNA2
ENSG00000066044 ELAVL1
ENSG00000066056 TIE1
ENSG00000066084 DIP2B
ENSG00000066117 SMARCD1
ENSG00000066135 KDM4A
ENSG00000066136 NFYC
ENSG00000066185 ZMYND12
ENSG00000066279 ASPM
ENSG00000066294 CD84
ENSG00000066322 ELOVL1
ENSG00000066336 SPI1
ENSG00000066379 ZNRD1
ENSG00000066382 MPPED2
ENSG00000066422 ZBTB11
ENSG00000066427 ATXN3
ENSG00000066455 GOLGA5
ENSG00000066468 FGFR2
ENSG00000066557 LRRC40
ENSG00000066583 ISOC1
ENSG00000066629 EML1
ENSG00000066651 TRMT11
ENSG00000066654 THUMPD1
ENSG00000066697 MSANTD3
ENSG00000066739 ATG2B
ENSG00000066777 ARFGEF1
ENSG00000066827 ZFAT
ENSG00000066855 MTFR1
ENSG00000066923 STAG3
ENSG00000066926 FECH
ENSG00000066933 MYO9A
ENSG00000067048 DDX3Y
ENSG00000067057 PFKP
ENSG00000067064 IDI1
ENSG00000067066 SP100
ENSG00000067082 KLF6
ENSG00000067113 PPAP2A
ENSG00000067141 NEO1
ENSG00000067167 TRAM1
ENSG00000067177 PHKA1
ENSG00000067182 TNFRSF1A
ENSG00000067191 CACNB1
ENSG00000067208 EVI5
ENSG00000067221 STOML1
ENSG00000067225 PKM
ENSG00000067248 DHX29
ENSG00000067334 DNTTIP2
ENSG00000067365 METTL22
ENSG00000067369 TP53BP1
ENSG00000067445 TRO
ENSG00000067533 RRP15
ENSG00000067560 RHOA
ENSG00000067596 DHX8
ENSG00000067601 PMS2P4
ENSG00000067606 PRKCZ
ENSG00000067646 ZFY
ENSG00000067704 IARS2
ENSG00000067715 SYT1
ENSG00000067798 NAV3
ENSG00000067829 IDH3G
ENSG00000067836 ROGDI
ENSG00000067840 PDZD4
ENSG00000067842 ATP2B3
ENSG00000067900 ROCK1
ENSG00000067955 CBFB
ENSG00000067992 PDK3
ENSG00000068001 HYAL2
ENSG00000068024 HDAC4
ENSG00000068028 RASSF1
ENSG00000068078 FGFR3
ENSG00000068079 IFI35
ENSG00000068097 HEATR6
ENSG00000068120 COASY
ENSG00000068137 PLEKHH3
ENSG00000068305 MEF2A
ENSG00000068308 OTUD5
ENSG00000068323 TFE3
ENSG00000068354 TBC1D25
ENSG00000068366 ACSL4
ENSG00000068383 INPP5A
ENSG00000068394 GPKOW
ENSG00000068400 GRIPAP1
