gene_id	gene_short_name	tss_id	locus	length	tracking_id	X113N_0	X113T_0	X116N_0	X116T_0	X119N_0	X119T_0	X122N_0	X122T_0	X125N_0	X125T_0	X129N_0	X129T_0	X133N_0	X133T_0	X134N_0	X134T_0	X135N_0	X135T_0	X137N_0	X137T_0	X138N_0	X138T_0	X140N_0	X140T_0
XLOC_015528	DEPDC5	TSS18816,TSS18817	22:32149936-32303020	-	XLOC_015528	1.73081	1.79092	2.00349	2.72558	2.12985	2.15054	1.45963	2.67285	1.94241	2.10705	1.34465	2.08578	1.44905	1.56625	2.24027	2.37052	2.62684	2.69108	2.3681	2.02564	2.49791	1.29178	1.43644	1.58017
XLOC_015543	RASD2	TSS18836	22:35937351-35950045	-	XLOC_015543	0.104792	0.390844	0.107998	0.291357	0.0594132	0.880088	0.0460181	0.333584	0.570639	0.159219	0.296527	0.521128	0.10367	0.100151	0.0827895	0.601454	0	0.379281	0.221374	0.301481	0.447698	0.909802	0.271795	0.0812845
XLOC_015830	ELFN2	TSS19192	22:37736684-37823505	-	XLOC_015830	0.0213577	0.00486562	0.0108251	0.129895	0.0235446	0.170232	0.0741845	0.027624	0.00414198	0.0118651	0.123944	0.220466	0.0334456	0.252846	0.0170864	0.0844082	0.0161943	0.0183519	0.0377781	0.0359392	0	0.0124082	0	0.217616
XLOC_015833	CARD10	TSS19195	22:37886399-37915210	-	XLOC_015833	1.09315	9.49952	11.756	11.4826	8.81576	10.0436	10.2578	16.6283	3.99905	14.0247	4.6382	14.9244	8.22035	11.5669	2.96555	7.53747	2.38883	5.59216	5.91204	8.43918	4.54945	9.79219	3.9258	19.0822
XLOC_015554	GGA1	TSS18848,TSS18849	22:38004480-38029571	-	XLOC_015554	10.0334	9.5923	16.4824	4.83913	11.6157	10.7423	11.8986	10.5267	10.4013	15.5185	8.17956	9.04849	11.8171	9.11048	11.4365	9.72206	15.9777	10.8024	14.1796	9.13849	9.69368	10.7565	12.0549	8.86238
XLOC_015558	NOL12	TSS18853	22:38082343-38089485	-	XLOC_015558	6.73293	6.91503	8.76638	2.0549	4.92344	4.22464	6.99657	7.37819	4.10483	5.53732	2.82272	4.65241	6.77897	5.78767	4.5375	3.31105	5.31813	4.30518	3.45924	4.16982	3.77572	5.44155	3.60972	3.80089
XLOC_015843	TMEM184B	TSS19205,TSS19206	22:38615297-38669040	-	XLOC_015843	9.15447	17.5604	14.0967	14.1809	8.70531	20.684	14.3204	28.8405	10.1814	20.2413	11.9901	27.3346	10.325	31.5616	8.10044	23.2057	7.76154	10.7014	15.6518	20.5768	8.39546	23.3124	8.20878	23.5058
XLOC_015846	DDX17	TSS19213	22:38864066-38902345	-	XLOC_015846	110.346	86.1706	100.489	74.6086	109.054	97.4414	112.825	70.0055	106.188	92.533	103.456	83.8357	107.849	75.7784	79.7183	86.8238	64.0495	62.6973	100.012	87.8372	68.6804	80.9492	103.256	85.1022
XLOC_015590	ADSL	TSS18894	22:40742503-40762575	-	XLOC_015590	27.714	36.1251	31.8231	18.9118	22.3728	28.9138	27.6001	17.8678	35.3058	35.6772	32.8393	42.687	30.9891	36.0272	24.3893	25.3844	21.4625	30.3894	21.2377	40.4788	39.4022	33.1542	35.5722	26.7662
XLOC_015899	SCUBE1	TSS19277	22:43599228-43739394	-	XLOC_015899	0.0329589	0.0894692	0.0348262	0.0177254	0.0420606	0.18104	0.143023	0.199431	0.0466327	0.0232857	0.103562	0.436342	0.0657584	0.13216	0.0202883	0.0414068	0.0718354	0.0912746	0.111935	0.0400619	0	0.024098	0.0484958	0.0314628
XLOC_015903	KIAA1644	TSS19281	22:44639556-44708731	-	XLOC_015903	0.293365	1.68804	0.456897	0.912702	0.56731	1.68766	3.56817	0.464803	0.0763086	0.266284	0.380088	2.44397	1.11948	5.49768	1.04134	2.75547	0.398312	0.541407	1.30911	2.18573	0.0414286	3.32939	0.124618	5.03986
XLOC_015648	FAM19A5	TSS18970,TSS18971	22:48885271-49147747	-	XLOC_015648	0.801096	0.826954	1.3077	0.271013	0.452052	1.32396	0.658307	1.12991	1.79014	0.789482	5.56357	0.581339	1.66169	1.35644	1.44922	1.20432	0.389929	0.803222	2.18194	1.41495	0.743402	1.48059	3.07694	0.172928
XLOC_015922	C22orf34	TSS19304	22:49808173-50051190	-	XLOC_015922	0.427899	0.761914	0.336011	0.113118	0.350824	1.19332	0.616486	0.669289	0.424068	0.308155	2.12329	0.268882	0.575876	0.832663	0.349725	0.506142	0.39706	0.635273	1.13405	0.2751	0.427162	0.289372	0.213	0.140615
XLOC_015926	MLC1	TSS19309,TSS19310	22:50497819-50524358	-	XLOC_015926	0.128563	0.116576	0.0455008	0.00599287	0.0865387	0.0818421	0.498466	0.0983594	0.0574263	0.0232753	0.120127	0.0427283	0.145968	0.181568	0.125763	0.0843087	0.15971	0.0708942	0.245021	0.0136798	0.0167689	0.0481177	0.0919308	0.0426475
XLOC_015665	MAPK8IP2	TSS18991	22:51039113-51049979	-	XLOC_015665	1.41567	0.675271	1.59813	0.103429	2.3508	0.856498	1.40082	0.738099	1.7025	0.060434	1.06496	0.577923	0.919375	1.47668	1.51394	6.49976	1.84684	0.919773	0.535196	2.98392	0.653556	2.48461	1.0084	1.4146
